Source,Region,StationID,BirthYear,Freq,Agency,Longitude,Latitude,FCCL_n.fish
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.80083,38.06278,1
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.79472,38.06472,1
UCD-FCCL,NA,fccl083,2019,NA,FCCL,-121.80611,38.01278,1
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.79889,38.06333,2
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.79944,38.06333,1
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.80111,38.06278,1
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.78333,38.07028,1
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.79611,38.06444,2
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.79278,38.06583,1
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.79667,38.06417,5
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.79694,38.06389,1
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.79722,38.06444,1
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.79722,38.06444,2
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.79722,38.06417,2
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.79444,38.06472,3
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.795,38.06444,1
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.79528,38.06417,1
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.79472,38.06444,2
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.78333,38.06972,1
UCD-FCCL,NA,fccl099,2019,NA,FCCL,-121.80333,38.0625,1
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.795,38.06444,2
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.79444,38.06472,1
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.79472,38.06444,3
UCD-FCCL,NA,fccl099,2019,NA,FCCL,-121.80833,38.0625,1
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.79694,38.06417,1
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.79278,38.06528,1
UCD-FCCL,NA,fccl102,2019,NA,FCCL,-121.66222,38.11806,1
UCD-FCCL,NA,fccl103,2019,NA,FCCL,-121.65306,38.11167,1
UCD-FCCL,NA,fccl104,2019,NA,FCCL,-121.65806,38.11667,1
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.79706,38.06372,1
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.78344,38.07042,1
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.79472,38.06444,1
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.79583,38.06417,1
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.79444,38.06417,1
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.79778,38.06389,1
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.79722,38.06417,1
UCD-FCCL,NA,fccl080,2019,NA,FCCL,-121.78194,38.07056,1
UCD-FCCL,NA,fccl080,2019,NA,FCCL,-121.78194,38.07056,1
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.79611,38.06444,2
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.79639,38.06444,2
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.7975,38.06333,1
UCD-FCCL,NA,NA,2019,NA,FCCL,-121.80194,38.06278,1
